1 59520  Note_on_c 0 58 80 
1 59520  Note_on_c 0 55 80 
1 59759  Note_on_c 0 58 0 
1 59759  Note_on_c 0 55 0 
1 59760  Note_on_c 0 58 80 
1 59760  Note_on_c 0 55 80 
1 59999  Note_on_c 0 58 0 
1 59999  Note_on_c 0 55 0 
1 60000  Note_on_c 0 62 80 
1 60000  Note_on_c 0 58 80 
1 60000  Note_on_c 0 55 80 
1 60479  Note_on_c 0 62 0 
1 60479  Note_on_c 0 58 0 
1 60479  Note_on_c 0 55 0 
1 60480  Note_on_c 0 67 80 
1 60480  Note_on_c 0 60 80 
1 60480  Note_on_c 0 55 80 
1 60959  Note_on_c 0 67 0 
1 60959  Note_on_c 0 60 0 
1 60959  Note_on_c 0 55 0 
1 60960  Note_on_c 0 64 80 
1 60960  Note_on_c 0 60 80 
1 60960  Note_on_c 0 55 80 
1 61439  Note_on_c 0 64 0 
1 61439  Note_on_c 0 60 0 
1 61439  Note_on_c 0 55 0 
1 61440  Note_on_c 0 65 80 
1 61440  Note_on_c 0 62 80 
1 61440  Note_on_c 0 60 80 
1 61440  Note_on_c 0 57 80 
1 61919  Note_on_c 0 65 0 
1 61919  Note_on_c 0 62 0 
1 61919  Note_on_c 0 60 0 
1 61919  Note_on_c 0 57 0 
1 61920  Note_on_c 0 64 80 
1 61920  Note_on_c 0 57 80 
1 62159  Note_on_c 0 64 0 
1 62159  Note_on_c 0 57 0 
